loss,val_loss,accuracy,val_accuracy,con_layer_1,con_layer_1_activation,con_layer_2,con_layer_2_activation,con_layer_3,con_layer_3_activation,hidden_layer_1,hidden_layer_1_activation,dropout_sizes,optimizers,epoch,epoch_n
0.7586150765419006,0.691767692565918,0.4902152717113495,0.5859375,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,1,30
0.7117006182670593,0.6914034485816956,0.5136986374855042,0.53125,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,2,30
0.7036383748054504,0.6862238049507141,0.5249511003494263,0.54296875,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,3,30
0.6970512270927429,0.681763768196106,0.5332680940628052,0.62890625,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,4,30
0.6887389421463013,0.708053708076477,0.551369845867157,0.5078125,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,5,30
0.6970686316490173,0.66753089427948,0.5503913760185242,0.59765625,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,6,30
0.6889035105705261,0.6644256711006165,0.5636007785797119,0.609375,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,7,30
0.6669629216194153,0.6552255749702454,0.5934442281723022,0.62890625,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,8,30
0.6704305410385132,0.6607106924057007,0.5890411138534546,0.60546875,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,9,30
0.665610671043396,0.6541731357574463,0.6135029196739197,0.60546875,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,10,30
0.6375325918197632,0.6471136808395386,0.6448140740394592,0.625,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,11,30
0.650389552116394,0.6327707171440125,0.621330738067627,0.69140625,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,12,30
0.6389010548591614,0.6271841526031494,0.6335616707801819,0.66796875,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,13,30
0.6380375623703003,0.6289827227592468,0.6404109597206116,0.62890625,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,14,30
0.607730507850647,0.5977107882499695,0.6687867045402527,0.70703125,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,15,30
0.6172952651977539,0.6097583174705505,0.6663405299186707,0.68359375,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,16,30
0.61659836769104,0.6106035709381104,0.6658512949943542,0.68359375,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,17,30
0.5863645672798157,0.6100207567214966,0.692270040512085,0.65625,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,18,30
0.575915515422821,0.5697851181030273,0.7064579129219055,0.71484375,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,19,30
0.5625325441360474,0.5787652730941772,0.7172211408615112,0.69140625,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,20,30
0.557436466217041,0.5593041181564331,0.7147749662399292,0.71484375,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,21,30
0.5383514761924744,0.572525680065155,0.7284736037254333,0.67578125,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,22,30
0.560312032699585,0.5736747980117798,0.7128180265426636,0.6875,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,23,30
0.5461843013763428,0.5829400420188904,0.7201565504074097,0.6875,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,24,30
0.5449479222297668,0.5147593021392822,0.7211350202560425,0.71484375,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,25,30
0.5239718556404114,0.5505978465080261,0.7460861206054688,0.71484375,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,26,30
0.5243302583694458,0.5125598907470703,0.7407044768333435,0.74609375,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,27,30
0.5258349180221558,0.5429549217224121,0.7426614761352539,0.7265625,16,relu,32,relu,32,relu,512,sigmoid,0.2,adam,28,30
